LabID,🏫 Institution,🌍 Country,Lab Name,PI(s),Additional Members,Lab website,📚 Projects (collecting data)
Sunway,Sunway University,Malaysia,Sunway Baby Lab,Woo Pei Jun,,https://sunwayuniversity.edu.my/school-of-medical-life-sciences/facilities/sunway-baby-lab,
tauccd,Tel Aviv University,Israel,Tel Aviv University Center for Cognitive Development ,Sagi Jaffe-Dax,"Lital Shapiro,Manar Khalaila,Coral Kfir",https://www.babylab.sites.tau.ac.il/?lang=en,"MB2,MB3"
ToMcdlSalzburg,University of Salzburg,Austria,ToM Child Development Lab,Josef Perner,"Anna Krämer,Beate Priewasser",,MB-ManyWebcams
trainorlab,McMaster University,Canada,"Auditory Development Lab, LIVELab",Laurel J. Trainor,Haley E. Kragness,https://trainorlab.mcmaster.ca/,MB1
TREESUW,University of Wisconsin–Madison,United States,The TREES Lab,Melisa Carrasco,,https://neurology.wisc.edu/research-and-labs/trees-lab/,MB3
uchunibadan,University of Ibadan,Nigeria,Institute of Child Health ,Bolanle M. Oyundoyin,Kofoworola Adediran,https://com.ui.edu.ng/index.php/ICH,MB1-Africa
udsSaarland,Saarland University,Germany,KinderProjekt Saarbrücken,Gisa Aschersleben,,https://www.uni-saarland.de/lehrstuhl/aschersleben/forschung/kinderprojekt.html,MB1
UIUCinfantlab,University of Illinois at Urbana-Champaign,United States,Infant Lab,"Renée Baillargeon,Cynthia Fisher,Daniel C. Hyde","Amanda Rose Yuile,Yukun Yu,Yiyu Liu",https://infantcognition.web.illinois.edu/,MB2
UMDLDev,University of Maryland,United States,"Language Development Laboratory, University of Maryland",Rochelle Newman,,http://langdev.umd.edu/,MB3
unicph,University of Copenhagen,Denmark,Centre for Early Childhood Cognition,"Dora Kampis,Victoria Southgate",Judith L. Krief,https://psychology.ku.dk/ecc-en/,MB2
unijos,University of Jos,Nigeria,,Evans Binan Dami,,,MB1-Africa
UNLVmusiclab,"""University of Nevada, Las Vegas""",United States,Auditory Cognition and Development Lab,Erin E. Hannon,Karli M. Nave,https://unlvmusiclab.wixsite.com/website,"MB1,MB1L"
UPFbabylab,Universitat Pompeu Fabra,Spain,Laboratori de Recerca en Infancia,Chiara Santolin,Nuria Sebastian-Galles,https://www.upf.edu/es/web/cbclab/bebes_recerca,"MB1G,MB3"
UPSAlaboratorio,Pontificia Universidad Javeriana,Colombia,UPSAlaboratorio,,,,"MB2,MB3,MB3-NIRS,MB4,MB5,MB1N"
usiuAfrica,United States International University–Africa,Kenya,,Dana M. Basnight-Brown,,,MB1-Africa
UTHKigali,"University of Rwanda,University Teaching Hospital of Kigali","Rwanda,Rwanda",,Febronie Mushimiyimana,,,MB1-Africa
warksbabylab,University of Warwick,England,Warks Baby Lab,Suzanne Aussems,Teruni Ahamat,https://warwick.ac.uk/fac/sci/psych/research/language/cdlab/,MB3
weescienceEdinburgh,University of Edinburgh,Scotland,Wee Science,"Mitsuhiko Ota,Barbora Skarabela,Hugh Rabagliati,Hilary Richardson",,https://www.weescience.ppls.ed.ac.uk/,"MB1,MB1L,MB3"
weltentdeckerZurich,University of Zurich,Switzerland,Developmental Psychology: Infancy and Childhood (kleine Weltentdecker),Moritz Daum,Stephanie Wermelinger,https://www.psychology.uzh.ch/en/areas/dev/devpsy/Weltentdecker.html,"MB1,MB1B,MB1G,MB1L,MB3,MB4"
WieKi,University of Vienna,Austria,Wiener Kinderstudien,Stefanie Hoehl,,https://www.kinderstudien.at/,MB5
wsiGoettingen,University of Göttingen,Germany,WortSchatzInsel,Nivedita Mani,"Matthias Lippold,Melanie S. Schreiner",https://www.psych.uni-goettingen.de/de/lang/wsi,"MB1,MB1B,MB1T"
WSUMARCS,"Western Sydney University,""MARCS Institute for Brain, Behaviour, and Development""","Australia,Australia",MARCS-Babylab,"Liquan Liu,Zhen (Jenny) Zeng",,https://www.westernsydney.edu.au/babylab,"MB2,MB4"
yonseichild,Yonsei University,South Korea,Developmental Research Lab,Hyun-joo Song,,,MB4I
